,Incident year,Number of Dead,Lat,Long
654,2017,1.0,27.13979415, -98.30781523
655,2017,1.0,31.68753, -111.98465
656,2017,1.0,32.06821, -112.4018
657,2017,1.0,26.5101629, -99.0262463
658,2017,1.0,27.51984, -99.41595
659,2017,1.0,25.8433787, -97.5849845
660,2017,1.0,26.0525676, -98.3662434
661,2017,1.0,32.11655, -111.67701
662,2017,1.0,26.0525676, -98.3662434
663,2017,1.0,27.4565378, -99.5698487
664,2017,1.0,27.0273057, -98.39295928
665,2017,1.0,27.1835782, -98.0559246
666,2017,1.0,26.0525676, -98.3662434
667,2017,1.0,32.45399, -113.18415
668,2017,1.0,32.0145, -112.06358
669,2017,1.0,27.1058788, -98.2058397
670,2017,,27.60315357, -99.58366425
671,2017,1.0,26.0525676, -98.3662434
672,2017,1.0,32.66688991, -115.46015872
673,2017,1.0,25.8433787, -97.5849845
674,2017,1.0,26.22018546, -98.47763265
675,2017,1.0,26.06549106, -97.93420931
676,2017,1.0,26.2275051, -98.51294518
677,2017,1.0,26.2275051, -98.51294518
678,2017,1.0,32.3088, -111.395217
679,2017,1.0,26.81693967, -99.24348542
680,2017,1.0,27.02898844, -98.02606837
681,2017,1.0,28.6919315, -100.514183
682,2017,1.0,32.83194576, -117.28843784
683,2017,1.0,32.69422005, -115.46553581
684,2017,1.0,31.4246, -111.2435
685,2017,1.0,27.4565378, -99.5698487
686,2017,1.0,28.6910517, -100.5801829
687,2017,1.0,26.0525676, -98.3662434
688,2017,1.0,28.7091433, -100.4995214
689,2017,1.0,28.6910517, -100.5801829
690,2017,1.0,28.6910517, -100.5801829
691,2017,1.0,27.13414255, -98.06452052
692,2017,1.0,29.1741116, -100.7961302
693,2017,1.0,27.4565378, -99.5698487
694,2017,1.0,27.1058788, -98.2058397
695,2017,1.0,27.15613905, -98.27326076
